Empregados - admissões - INATIVA
Sigla;Código;Brasil;2012.01;2012.02;2012.03;2012.04;2012.05;2012.06;2012.07;2012.08;2012.09;2012.10;2012.11;2012.12;
BR;0;Brasil;1711490;1740062;1881127;1798101;1785075;1732327;1753241;1819767;1664747;1710580;1624306;1211216;
