Empregados - admissões - INATIVA
Sigla;Código;Brasil;2014.01;2014.02;2014.03;2014.04;2014.05;2014.06;2014.07;2014.08;2014.09;2014.10;2014.11;2014.12;
BR;0;Brasil;1778077;1989181;1767969;1862515;1849591;1639407;1746797;1748818;1770429;1718373;1613006;1176896;
