Empregados - admissões - INATIVA
Sigla;Código;Brasil;2004.01;2004.02;2004.03;2004.04;2004.05;2004.06;2004.07;2004.08;2004.09;2004.10;2004.11;2004.12;
BR;0;Brasil;850198;872046;998092;961475;1031227;986494;982628;1048597;987731;921063;931126;725819;
