Empregados - admissões - INATIVA
Sigla;Código;Brasil;2008.01;2008.02;2008.03;2008.04;2008.05;2008.06;2008.07;2008.08;2008.09;2008.10;2008.11;2008.12;
BR;0;Brasil;1308922;1376908;1433140;1503158;1389589;1492051;1502808;1484006;1554571;1451205;1275674;887299;
