Empregados - admissões - INATIVA
Sigla;Código;Brasil;2003.02;2003.03;2003.04;2003.05;2003.06;2003.07;2003.08;2003.09;2003.10;2003.11;2003.12;
BR;0;Brasil;841125;773659;869453;904068;824879;812383;839474;900082;851731;788649;581563;
